"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"PEX11B","0.245383815885128","0.888450342291302","0.751401293890027","3.44738695207765","3.78409277302042","3.44693037575707","3.29187076342743","2.84790464016002","3.37772897455504","3.4805946884581","3.00505246984712","1.57209879558794","2.82679039245527","2.87874120245736","3.18169939103633","2.77005011736808","3.22637990369005",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"LIX1L-AS1","0.638974387114967","0.494787354232966","0.55409209594744","4.64744557520031","4.98016615796967","4.62657514906667","5.02295434659185","5.22076533513131","4.67874796971333","4.68179797868649","0.939347956487135","0.747399836583093","0.826653337108335","1.22802042283014","0.933092432328256","1.10384059823153","0.614589915000006",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"ANKRD34A","0.269281573770169","0.573599472259858","0.557547025789123","3.00266516459068","2.67826515728521","2.99576885839408","2.85527987882543","3.58638572473636","2.97239999524151","2.98738573989737","3.26288921564121","2.51744937274795","3.21308774139197","2.46828066981596","1.16422125527743","2.85000078175468","3.66679184003048",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"TXNIP","0.85173155535364","0.842255667040703","0.544006064699081","1.28053200163718","1.56138555453926","1.21105825278573","1.71196266361301","2.29664586119821","1.53432396766222","0.723343287713582","9.30145671808386","6.52973922569995","8.05193250284264","10.0306682330824","18.6438800013539","11.7293981441689","7.00378434064106",0.980015464984686,1,0.999963831301336,1,0.999904061893522,1
"NBPF10","0.643570232546489","0.908149105687312","0.83410953890397","0.927613620526222","1.47861960712","0.949974105350269","0.806165283870018","1.60774196740124","0.834021264214892","0.907127084913192","0.705829915005792","0.47988803006051","0.621408293381764","0.772841879014822","0.81316258086111","0.527599014394807","0.866309784339595",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"NOTCH2NLA","0.924870536994411","0.696868333848735","0.920198290721763","0.90198020902461","1.17265654685803","0.87704346259939","0.999133633340424","1.61277504540764","0.94975885723327","0.785082493574814","0.509871531171872","0.517869271817715","0.470706931556856","0.631809697400286","0.459662562273596","0.49867492686659","0.552857689688441",0.987003339449944,1,0.999963831301336,1,0.999904061893522,1
"NBPF14","0.670613827411115","0.921840964355752","0.980662745148811","0.894896520958812","0.356364381882567","0.863943371126208","0.768629951699403","1.04315900584591","0.917483187221878","0.722650942531003","1.74545784374516","1.21927819195495","1.66664848472273","1.37909120200273","1.48861343040085","1.56151376154679","1.81498771853032",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"FCGR1A","0.622083968336931","0.908541190031876","0.753148075597517","1.30578207055211","6.27426551649819","1.15992096824838","1.29886656227294","2.19272989718958","1.10449837987912","1.01840900650945","0.439922522430035","0.609433648077021","0.375399487398462","0.537363636233541","1.70669487462449","0.459967108728064","0.308246052653229",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"HIST2H2BE","0.740183191459796","0.923520185344111","0.63055928157377","2.16385066424619","1.74586151856118","2.14184141120941","2.25545347448304","2.42262448068013","1.90454930934551","2.4379433679046","0.742368527691144","0.541626441918237","0.654725037982121","0.792881895522227","0.988142774203517","0.682643237153275","0.693284224238528",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"SV2A","0.499684003119592","0.650396895375994","0.264750330740118","2.90923863187747","2.95532403924683","2.95965827235362","2.72544049821336","4.89974785410697","2.78420734284041","3.10787303510826","27.6528345210204","15.7555535235637","26.6695710715745","24.1992355129455","11.4914998436904","26.1730837362952","29.2816006347237",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"ADAMTSL4-AS1","0.482286399160229","0.343399349181443","0.684895732744667","5.13325823441748","5.43123484740831","5.12976917726122","5.38495772066141","5.49632412543279","5.08553383399496","5.30088829570216","3.25444788135168","4.36998442033174","3.6437693462766","2.37616358876863","6.26179236509285","3.2869041170739","3.32802212532726",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"CTXND2","0.963798430367262","0.76175267878506","0.187226246321131","4.87387131348192","5.00760340519256","4.88475401082184","4.98485259948768","5.51931645333558","4.76584680461842","4.86823646188537","0.0977757633459741","0.0991213970699725","0.0859135926649355","0.122881470277905","0.357384565362566","0.100634958321603","0.069015482041637",0.99053153635951,1,0.999963831301336,1,0.999904061893522,1
"MLLT11","0.287871202959557","0.87711688602649","0.331288826040952","3.05557764323715","2.74468732093781","3.03465741690668","2.906098274215","3.81935334533666","2.84748519184544","3.17132950195356","21.6723797777281","15.076384134056","20.8697211016149","20.2767692669468","13.6023191184586","20.2601567950783","24.3218122803286",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"ZNF687","0.193603917994553","0.933944666233217","0.951692619731485","2.903454676204","2.49092849460059","2.88073034976241","2.80274011925585","2.90769344740236","2.8126867881306","2.91434566381056","0.994912242008194","0.74238759486271","0.940070189992447","1.01299986969448","1.19043167626451","0.962760793640988","0.866083019153539",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"RIIAD1","0.49945751978444","0.1849582734501","0.352352155704803","4.33680000149588","3.96834196357328","4.1908972236487","5.04972664830784","5.51767153346753","4.333254840096","4.19787033501866","0.547249324999289","0.281116838371686","0.480748180354528","0.649584709935984","0.662487794756246","0.604648775571839","0.401541104473311",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"MRPL9","0.17724691974197","0.31991925534109","0.783131732765896","3.09107395860809","3.46213284194094","2.99362777789896","3.47776575720429","2.93761409947305","3.02151133862967","3.18388993193191","1.69036740071697","0.630231288284824","1.60994179821903","1.45185123927456","1.95964573536566","1.44908090936892","1.80667914680901",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
