GENE_SYMBOLS,refseq_ids
MEGF8,NM_001271938
PYGO2,NM_138300
WDR19,NM_001317924
RPL18,NM_000979
TMEM219,NM_001083613
SUMO1,NM_001005781
HINT3,NM_138571
SEL1L,NM_001244984
AHI1,NM_001134830
DLGAP1,NM_001003809
LAMTOR5,NM_001382293
SUSD1,NM_001282640
PIK3R2,NM_005027
PRELID1,NM_001271828
CCDC115,NM_001321118
INAFM2,NM_001301268
CTXN1,NM_206833
SEC62,NM_003262
EMC10,NM_175063
GPHN,NM_001024218
VMA21,NM_001017980
EPB41L5,NM_001184937
CRADD,NM_001320099
DNAH14,NM_001145154
SRPRA,NM_001177842
ARFGAP2,NM_001242832
ANKRD29,NM_001308238
CSTF2T,NM_015235
UBE2Q1,NM_017582
RAPGEF4,NM_001100397
DCC,NM_005215
ZNF438,NM_001143766
GPRIN1,NM_052899
PRR13,NM_001005354
STOML2,NM_001287031
WDR60,NA
NUP50-DT,NR_038956
TMEM70,NM_001040613
DYM,NM_001353210
SPRY4-AS1,NR_120664
LRRC59,NM_018509
HTR5A,NM_024012
BMI1,NM_005180
CNOT7,NM_001322087
ABHD16A,NM_001177515
EML6,NM_001039753
NARS,NA
IRF2BP1,NM_015649
ABHD18,NM_001039717
TRIP4,NM_001321924
CEP85L,NM_001042475
KIAA1841,NA
IDE,NM_001165946
TNIK,NM_001161560
MTURN,NM_152793
GPATCH8,NM_001002909
MCPH1,NM_001172574
ARL2,NM_001199745
KEAP1,NM_012289
MSRA,NM_001135670
PPP2CA,NM_001355019
FBXL15,NM_001387294
NT5C3B,NM_052935
PELI3,NM_001098510
COQ10B,NM_001320818
FAM193A,NM_001256666
FOXG1,NM_005249
BRI3BP,NM_080626
CCK,NM_000729
COPRS,NM_001330176
PRKRIP1,NM_024653
OSBPL9,NM_001330580
SQSTM1,NM_001142298
H1F0,NA
NDUFAF4,NM_014165
NAP1L5,NM_153757
LAMTOR3,NM_001243736
RAD23A,NM_001270362
ASTN2,NM_001184734
XKR6,NM_173683
HRAS,NM_001130442
IRF2BPL,NM_024496
H2AFX,NA
SRRD,NM_001013694
TMEM14B,NM_001127711
MAPK8IP1,NM_005456
BCO2,NM_001037290
CRIP2,NM_001270837
ALMS1,NM_001378454
MACROD2,NM_001033087
TMEM160,NM_017854
CISD2,NM_001008388
ENOPH1,NM_001292017
ARL8A,NM_001256129
PNRC2,NM_017761
HLF,NM_001330375
EHMT1,NM_001039765
TNR,NM_001328635
PPP1R11,NM_021959
MAPK8IP2,NM_012324
ARL8B,NM_018184
ATMIN,NM_001300728
PEBP1,NM_002567
SCLT1,NM_001300897
FMN1,NM_001103184
TMEM127,NM_001193304
TCEAL7,NM_001348258
KIF1A,NM_001244008
FAM189A1,NA
SPRN,NM_001012508
FLNB,NM_001164317
CHGB,NM_001819
C22orf39,NM_001166242
POLR3H,NM_001018050
CKB,NM_001362531
TRPC1,NM_001251845
UBQLN2,NM_013444
SETD2,NM_001349370
PDSS2,NM_020381
PSMD8,NM_002812
RBM15B,NM_013286
UBAC2,NM_001144072
MRPS23,NM_016070
H2AFZ,NA
KIRREL3,NM_001161707
DEGS1,NM_001321541
B4GALNT1,NM_001276468
RRAGC,NM_001271851
VPS13B,NM_015243
CBX5,NM_001127321
SRP68,NM_001260502
AF117829.1,NA
PIBF1,NM_001349655
SRRM3,NM_001039212
PRPS1,NM_001204402
CACYBP,NM_001007214
FGFR1OP,NA
CCDC138,NM_001303105
DISP1,NM_001350630
CBFA2T2,NM_001032999
UBE2S,NM_014501
CSDE1,NM_001007553
RECK,NM_001316345
AAMP,NM_001087
MAPK6,NM_002748
NUDC,NM_006600
PCBP2,NM_001098620
JAZF1,NM_175061
CSTB,NM_000100
TSC22D3,NM_001015881
CEP41,NM_001257158
LRCH3,NM_001363887
ATP1A3,NM_001256213
SNRNP25,NM_024571
OPHN1,NM_002547
RACK1,NM_006098
MRPS2,NM_001371401
RIC8A,NM_001286134
L3MBTL2,NM_001003689
PCBP1,NM_006196
MLLT1,NM_005934
DZIP1,NM_014934
KLF16,NM_031918
KLC2,NM_001134774
KCNF1,NM_002236
SLC25A22,NM_001191060
UBE3D,NM_001304437
SRSF9,NM_003769
C18orf32,NM_001035005
CACNA1B,NM_000718
RAB5IF,NM_001199534
SHISA5,NM_001272065
GPR88,NM_022049
RCN1,NM_002901
PFKL,NM_001002021
SLC25A11,NM_001165417
CCNI,NM_001348132
ANKS6,NM_173551
ATP6V1F,NM_001198909
MPC2,NM_001143674
DNM2,NM_001005360
TMEM115,NM_007024
MBOAT7,NM_001146056
EEF1A2,NM_001958
RPL28,NM_000991
FKBP1B,NM_001322963
C12orf29,NM_001009894
TNFSF12,NM_003809
SAP18,NM_001366643
ATP5PB,NM_001002014
ATXN1,NM_000332
CANT1,NM_001159772
CHCHD2,NM_001320327
SLC30A1,NM_021194
SUPT3H,NM_001261823
LMAN2,NM_006816
NUMB,NM_001005743
ACACA,NM_000664
GSPT2,NM_018094
ANO6,NM_001025356
PIN1,NM_006221
PHB2,NM_001144831
THUMPD1,NM_001304550
PPP1CB,NM_002709
SMIM29,NM_001008703
GRWD1,NM_031485
MTM1,NM_000252
SPATA2L,NM_152339
GAPDH,NM_001256799
