GENE_SYMBOLS,refseq_ids
PRR7,NM_001174101
TMEM155,NA
HNRNPH2,NM_001032393
ADAP1,NM_001284308
CDKN1B,NM_004064
ATP1A3,NM_001256213
FAM174C,NM_017914
RPS28,NM_001031
TBCC,NM_003192
INTS5,NM_030628
GPRIN1,NM_052899
PRXL2B,NM_001195736
CSTB,NM_000100
FSCN1,NM_003088
SLC17A7,NM_020309
CYC1,NM_001916
EMC4,NM_001286420
NR2F1,NM_001410754
SH3BP5L,NM_001322462
CHCHD2,NM_001320327
TPT1,NM_001286272
PRDX3,NM_001302272
DUSP4,NM_001394
C19orf53,NM_014047
HTATSF1,NM_001163280
DYNLL1,NM_001037494
CEBPB,NM_001285878
MCM4,NM_005914
RPL13,NM_000977
ZBTB22,NM_001145338
CHMP1B,NM_020412
TMEM54,NM_001329722
TCEAL8,NM_001006684
VSTM2A,NM_001301009
DBP,NM_001352
GNG3,NM_012202
CSMD2,NM_001281956
PHB2,NM_001144831
RTN4R,NM_023004
PJA1,NM_001032396
FNDC5,NM_001171940
EXOSC6,NM_058219
SCGB2B2,NM_001025591
PSMC3,NM_002804
RAP2B,NM_002886
PDE10A,NM_001130690
PLPPR2,NM_001170635
MRPS7,NM_015971
RITA1,NM_001286215
FHIT,NM_001166243
RPL13A,NM_001270491
OAT,NM_000274
SSNA1,NM_003731
NPM3,NM_006993
CEBPA,NM_001285829
PWWP2B,NM_001098637
DNMBP,NM_001318326
LY6H,NM_001130478
LRATD1,NM_001291410
STMN1,NM_001145454
CDK5,NM_001164410
GPR88,NM_022049
SF3B5,NM_031287
NGB,NM_021257
BEX1,NM_018476
KLF9,NM_001206
IQCK,NM_001305121
NECTIN1,NM_002855
GRK2,NM_001619
FTH1,NM_002032
YOD1,NM_001276320
TAF13,NM_005645
KCNS2,NM_020697
MMGT1,NM_001330000
PHF13,NM_153812
PNRC2,NM_017761
ACP6,NM_001323625
MRPL10,NM_145255
LDHB,NM_001174097
CPLX2,NM_001008220
GDI1,NM_001493
UQCRH,NM_001297565
BHLHE40,NM_003670
TUBA4A,NM_001278552
BEX3,NM_001282674
ASTN2,NM_001184734
LSAMP,NM_001318915
SLC6A8,NM_001142805
DCC,NM_005215
KCNJ11,NM_000525
SSTR3,NM_001051
TCEAL1,NM_001006639
FNDC4,NM_022823
ATRAID,NM_001170795
JMJD8,NM_001005920
KMO,NM_001410944
KATNAL2,NM_001353899
MAZ,NM_001042539
ARL2BP,NM_012106
TAGLN3,NM_001008272
B4GALT3,NM_001199873
SELENOK,NM_021237
RASD1,NM_001199989
RPL29,NM_000992
CCT7,NM_001009570
CAPNS1,NM_001003962
HSPA5,NM_005347
MTPN,NM_145808
CNPPD1,NM_001321389
UBA6-AS1,NA
FASN,NM_004104
BTG1,NM_001731
CETN2,NM_004344
H2AFZ,NA
RANBP17,NM_022897
MED16,NM_005481
MIEN1,NM_001330206
PRDX1,NM_001202431
LRTM2,NM_001039029
TMSB10,NM_021103
RPS5,NM_001009
RPS15,NM_001018
FIBP,NM_004214
TMEM151A,NM_153266
DOC2A,NM_001282062
RGS14,NM_001366617
H3F3A,NA
C3orf80,NM_001168214
