GENE_SYMBOLS,refseq_ids
NHLRC1,NM_198586
PIP4P1,NM_001100814
ZC3HAV1L,NM_080660
FIGNL2,NM_001013690
SSB,NM_001294145
DLL3,NM_016941
DUSP12,NM_007240
TRIM71,NM_001039111
IER3-AS1,NR_149095
DLD,NM_000108
FDFT1,NM_001287742
AARD,NM_001025357
C11orf71,NM_001271562
SLIRP,NM_001267863
PMFBP1,NM_001160213
TPRG1,NM_198485
PTMS,NM_001330333
MED26,NM_004831
CAP1,NM_001105530
HNRNPA0,NM_006805
VDAC2,NM_001184783
ATG101,NM_001098673
DDIT3,NM_001195053
ACTG1,NM_001199954
TRIM68,NM_001304496
PTPN1,NM_001278618
ZNF511,NM_145806
MYL6,NM_021019
RPAIN,NM_001033002
PPDPF,NM_001353423
HEXIM2,NM_001303436
OCIAD2,NM_001014446
CCT4,NM_001256721
EMC7,NM_020154
GET3,NM_001371488
RAB3A,NM_002866
SPRED2,NM_001128210
ACYP1,NM_001107
ESYT2,NM_001367773
RPS27L,NM_015920
MRPL27,NM_016504
NKIRAS1,NM_001377351
PDE6G,NM_001365724
DNAH5,NM_001369
PYDC1,NM_152901
COX11,NM_001162861
DCXR,NM_001195218
PPT1,NM_000310
RASA4B,NM_001277335
RPS20,NM_001023
ACTR6,NM_022496
PAK1IP1,NM_017906
ZNF32,NM_001005368
KRTAP5-8,NM_021046
C3orf80,NM_001168214
STRAP,NM_007178
NABP2,NM_024068
PRTG,NM_173814
SEZ6L2,NM_001114099
TMEM187,NM_003492
EIF3I,NM_001394168
MRPL15,NM_014175
GPS2,NM_004489
DHX8,NM_001302623
DAD1,NM_001344
ITM2A,NM_001171581
ODC1,NM_001287188
DGCR6,NM_001368242
EIF5,NM_001969
BAX,NM_001291428
CDCA5,NM_080668
PMM1,NM_002676
CDC26,NM_139286
TMEM54,NM_001329722
TXNDC9,NM_005783
LLPH,NM_032338
WBP11,NM_016312
CEP85,NM_001281517
SNHG17,NR_015366
TEX55,NM_152539
SIK2,NM_015191
GABRB3,NM_000814
RAB1A,NM_004161
SKP1,NM_006930
ZNF576,NM_001145347
PFKM,NM_000289
LBHD2,NM_001330236
NPB,NM_148896
SMIM24,NM_001136503
PDHA1,NM_000284
KLF6,NM_001008490
COPZ1,NM_001271734
TECTA,NM_005422
RAI1,NM_017574
CALHM6,NM_001010919
SRSF3,NM_003017
RPS17,NM_001021
PPP1R11,NM_021959
SESN1,NM_001199933
DAPK1,NM_001288729
THAP5,NM_001130475
PSMA7,NM_002792
ZNF534,NM_001143938
PPIB,NM_000942
TRAPPC5,NM_001042461
RASSF3,NM_178169
BEND5,NM_001302082
SLC38A11,NM_001199148
CUTA,NM_001014433
C8orf48,NM_001007090
CRYBB3,NM_004076
C11orf1,NA
TTC9B,NM_152479
FABP5,NM_001444
EIF3J,NM_001284335
CCDC137,NM_199287
IFT22,NM_001130820
TSR3,NM_001001410
MAP1LC3A,NM_032514
MRPL20-AS1,NR_015434
S100A13,NM_001024210
HIST3H2A,NA
PCMT1,NM_001252049
MYDGF,NM_019107
ANKRD39,NM_016466
CCDC51,NM_001256964
CYC1,NM_001916
MRPS34,NM_001300900
UBAP1L,NM_001163692
TMEM184A,NM_001097620
SNHG32,NM_001040437
UBL4A,NM_014235
NDUFC2,NM_001204054
ZNF226,NM_001032372
VAMP2,NM_001330125
GTF3A,NM_002097
SF3B5,NM_031287
PSMA2,NM_002787
BOLA1,NM_001321025
NIF3L1,NM_001136039
MED27,NM_001253881
FKBP3,NM_002013
HLA-B,NM_005514
TKFC,NM_001351976
NUDT8,NM_001243750
TFPT,NM_001321792
AHCY,NM_000687
TCEAL2,NM_080390
RNF141,NM_016422
DRAM2,NM_001349881
OCEL1,NM_024578
ERG28,NM_007176
MRPL53,NM_053050
CCDC106,NM_001370467
FBXO2,NM_012168
SOD1,NM_000454
AKR7A3,NM_012067
NUPR2,NM_001145712
ARPC5L,NM_030978
CCNYL1,NM_001142300
NUDT2,NM_001161
HMOX2,NM_001127204
PLAC8L1,NM_001029869
CCND1,NM_053056
AFAP1,NM_001134647
PRKCA-AS1,NR_110822
NOL7,NM_001317724
CHRNB3,NM_000749
DHRS7,NM_001322280
TMX2,NM_001144012
LDHA,NM_001135239
NUDC,NM_006600
NARS,NA
SSR4,NM_001204526
GSE1,NM_001134473
DGCR6L,NM_033257
RBX1,NM_014248
GDI2,NM_001115156
CD63,NM_001040034
PIGH,NM_001363694
ELL,NM_006532
IER2,NM_004907
AP2S1,NM_001301076
RAD23A,NM_001270362
SNX17,NM_001267059
PSORS1C1,NM_014068
ARPP19,NM_001306191
MRPS15,NM_031280
KTI12,NM_138417
NDUFB9,NM_001278645
LIN7B,NM_001308419
STBD1,NM_003943
PCDHA11,NM_018902
RAI1-AS1,NR_130894
TMEM251,NA
AKR7A2,NM_001320979
APEX1,NM_001244249
PRKAR1A,NM_001276289
SEC11C,NM_001307941
FAM32A,NM_014077
COPS4,NM_001258006
MRPL55,NM_001321284
LARP6,NM_001286679
PHB,NA
PITPNM3,NM_001165966
AXDND1,NM_144619
TMEM35A,NM_021637
TMEM208,NM_001318217
SLC6A1-AS1,NR_046647
C6orf226,NM_001008739
SLC25A21-AS1,NR_033240
TTC7B,NM_001010854
Z82215.1,NA
SLC38A2,NM_001307936
PNMA5,NM_001103150
TMEM167A,NM_174909
AIFM2,NM_001198696
SLC25A6,NM_001636
RHCG,NM_001321041
PYCR2,NM_001271681
AKIP1,NM_001206645
MRPL49,NM_004927
NECAP1,NM_015509
NEFH,NM_021076
PDE1C,NM_001191056
PRAF2,NM_007213
YTHDF3-AS1,NA
BRD1,NM_001304808
ZNF592,NM_014630
RACK1,NM_006098
EBNA1BP2,NM_001159936
ITGAE,NM_002208
LYRM7,NM_001293735
GPN3,NM_001164372
HSBP1L1,NM_001136180
PRELP,NM_002725
COQ10B,NM_001320818
SLC25A25,NM_001006641
COA4,NM_016565
ALKBH2,NM_001001655
RSRC2,NM_023012
RPP25,NM_017793
NDUFV2,NM_021074
C18orf21,NM_001201474
IRF3,NM_001197122
COX16,NM_001204090
JAM2,NM_001270407
FAM49B,NA
PRICKLE2,NM_001370528
CFL2,NM_001243645
DCTN6,NM_006571
BUD31,NM_001370407
SQLE,NM_003129
SERPINA3,NM_001085
SULT4A1,NM_014351
SLC25A4,NM_001151
SSH1,NM_001161330
MAGEH1,NM_014061
HSD17B8,NM_014234
SCG5,NM_001144757
DEXI,NM_014015
IKBKG,NM_001099856
SAAL1,NM_138421
IFITM3,NM_021034
ING1,NM_001267728
PRPF4,NM_001244926
CEBPZOS,NM_001322373
MAP1LC3B,NM_022818
ALPK3,NM_020778
FKBP14,NM_017946
MAPKAPK5-AS1,NR_015404
NPIPB3,NM_130464
TRARG1,NM_172367
FTL,NM_000146
PHF5A,NM_032758
ATP5F1C,NM_001001973
NIPSNAP1,NM_001202502
LDOC1,NM_012317
METTL5,NM_001293186
SFRP2,NM_003013
GM2A,NM_000405
MRPL35,NM_001363782
C12orf43,NM_001286191
NOLC1,NM_001284388
SCG3,NM_001165257
CCNB1,NM_001354844
DDA1,NM_024050
RGS4,NM_001102445
C6orf120,NM_001029863
DIRAS1,NM_145173
DUSP23,NM_001319658
NUDCD2,NM_001329991
GEMIN6,NM_024775
SPRYD3,NM_032840
SETD9,NM_001171990
TPGS1,NM_033513
TPM3,NM_001043351
UBXN8,NM_001282189
WDR83OS,NM_016145
OBSCN,NM_001098623
CELSR2,NM_001408
CCK,NM_000729
RPP21,NM_001199120
PINK1,NM_032409
PPCS,NM_001077447
TSFM,NM_001172695
LRPAP1,NM_002337
SNX8,NM_013321
DHPS,NM_001206974
GAS5,NR_002578
SMIM19,NM_001135674
NDUFS3,NM_004551
SNN,NM_003498
METTL21A,NM_001127395
SMIM27,NM_001349118
ZNF575,NM_001394237
FBXW4,NM_001323541
TAF10,NM_006284
UBAC2,NM_001144072
AARS,NA
ALKBH7,NM_032306
RAC3,NM_001316307
MAK16,NM_032509
NUP98,NM_001365125
BCR,NM_004327
C1orf194,NA
SAP18,NM_001366643
LAPTM4B,NM_018407
UBA3,NM_001363861
PDZD11,NM_001370174
LPP,NM_001167671
UNC5D,NM_001322818
IMPDH2,NM_000884
TMEM53,NM_001300746
LIMD1,NM_014240
NOTCH4,NM_004557
CNN1,NM_001299
PRDX1,NM_001202431
POLE4,NM_019896
EEF1AKNMT,NA
GPATCH11,NM_001278505
RITA1,NM_001286215
CMC4,NM_001018024
ATRAID,NM_001170795
SARAF,NM_001284239
PSMB5,NM_001130725
MAP4K1,NM_001042600
TRAF3IP1,NM_001139490
MGST3,NM_004528
STMND1,NM_001190766
TMEM60,NM_032936
