GENE_SYMBOLS,refseq_ids
ALYREF,NM_005782
ANAPC11,NM_001002244
NPB,NM_148896
CENPX,NM_001271006
RAC3,NM_001316307
DCXR,NM_001195218
MYL12B,NM_001144944
NDUFV2,NM_021074
NAPG,NM_003826
RNMT,NM_001308263
SNRPD1,NM_001291916
C18orf21,NM_001201474
IER3IP1,NM_016097
C18orf32,NM_001035005
RPL17,NM_000985
NARS,NA
SEC11C,NM_001307941
HSBP1L1,NM_001136180
TPGS1,NM_033513
GPX4,NM_001039847
ATP5F1D,NM_001001975
FAM174C,NM_017914
RPS15,NM_001018
UQCR11,NM_006830
PLEKHJ1,NM_001300836
OAZ1,NM_001301020
LSM7,NM_016199
TIMM13,NM_012458
DIRAS1,NM_145173
SMIM24,NM_001136503
MRPL54,NM_172251
MYDGF,NM_019107
RPL36,NM_015414
MICOS13,NM_001308240
NDUFA11,NM_001193375
ALKBH7,NM_032306
PET100,NM_001171155
TRAPPC5,NM_001042461
TGFBR3L,NM_001195259
CTXN1,NM_206833
NDUFA7,NM_005001
RPS28,NM_001031
UBL5,NM_001048241
PIN1,NM_006221
FDX2,NM_001031734
CDKN2D,NM_001800
CNN1,NM_001299
WDR83OS,NM_016145
DHPS,NM_001206974
TRIR,NM_001329738
GET3,NM_001371488
RAD23A,NM_001270362
GADD45GIP1,NM_052850
IER2,NM_004907
C19orf53,NM_014047
MISP3,NM_001291291
NDUFB7,NM_004146
FAM32A,NM_014077
USE1,NM_018467
OCEL1,NM_024578
MRPL34,NM_001382342
DDA1,NM_024050
RPL18A,NM_000980
RAB3A,NM_002866
LSM4,NM_001252129
UBA52,NM_001033930
BORCS8,NM_001145783
NR2C2AP,NM_001300945
NDUFA13,NM_015965
UQCRFS1,NM_006003
POP4,NM_006627
PDCD5,NM_004708
SCN1B,NM_001037
FXYD1,NM_001278717
COX6B1,NM_001863
PSENEN,NM_001281532
SDHAF1,NM_001042631
POLR2I,NM_006233
COX7A1,NM_001864
PSMD8,NM_002812
EIF3K,NM_001300992
MRPS12,NM_021107
PAK4,NM_001014831
MED29,NM_001317770
RPS16,NM_001020
DLL3,NM_016941
TTC9B,NM_152479
EXOSC5,NM_020158
RPS19,NM_001022
CNFN,NM_032488
ZNF575,NM_001394237
ZNF576,NM_001145347
ZNF428,NM_182498
APOC1,NM_001321065
CALM3,NM_001329921
AP2S1,NM_001301076
TMEM160,NM_017854
SELENOW,NM_003009
RPL18,NM_000979
NUCB1,NM_006184
BAX,NM_001291428
FTL,NM_000146
LIN7B,NM_001308419
RPL13A,NM_001270491
RPS11,NM_001015
RRAS,NM_006270
FAM71E1,NA
EMC10,NM_175063
JOSD2,NM_001270639
ZNF534,NM_001143938
TFPT,NM_001321792
LENG1,NM_024316
RPS9,NM_001013
RPL28,NM_000991
UBE2S,NM_014501
CCDC106,NM_001370467
ZNF667-AS1,NM_198879
RPS5,NM_001009
CHMP2A,NM_014453
UBE2M,NM_003969
IDH3B,NM_001258384
MRPS26,NM_030811
C20orf27,NA
CHGB,NM_001819
SNRPB2,NM_003092
DSTN,NM_001011546
PET117,NM_001164811
SMIM26,NM_001348957
PDRG1,NM_030815
AHCY,NM_000687
MAP1LC3A,NM_032514
MMP24OS,NM_001355003
ROMO1,NM_080748
RAB5IF,NM_001199534
NDRG3,NM_022477
OSER1-DT,NR_038337
DBNDD2,NM_001048221
PFDN4,NM_002623
RTF2,NM_001283035
ATP5F1E,NM_006886
PSMA7,NM_002792
RPS21,NM_001024
COL9A3,NM_001853
HAR1A,NR_003244
PPDPF,NM_001353423
LKAAEAR1,NM_001007125
ATP5PF,NM_001003696
RWDD2B,NM_001320724
SOD1,NM_000454
URB1-AS1,NM_032910
ATP5PO,NM_001697
PCP4,NM_006198
CSTB,NM_000100
ATP6V1E1,NM_001039366
DGCR6,NM_001368242
MRPL40,NM_001318151
RANBP1,NM_001278639
DGCR6L,NM_033257
SDF2L1,NM_022044
CHCHD10,NM_001301339
DDT,NM_001084392
SRRD,NM_001013694
Z95115.1,NA
XBP1,NM_001079539
NIPSNAP1,NM_001202502
UQCR10,NM_001003684
SELENOM,NM_080430
YWHAH,NM_003405
LGALS1,NM_002305
TOMM22,NM_020243
RPL3,NM_000967
RPS19BP1,NM_194326
RBX1,NM_014248
PHF5A,NM_032758
POLR3H,NM_001018050
PMM1,NM_002676
SNU13,NM_001003796
SMDT1,NM_033318
NDUFA6,NM_002490
SULT4A1,NM_014351
SLC25A6,NM_001636
TMSB4X,NM_021109
AP1S2,NM_001272071
PDHA1,NM_000284
NDUFB11,NM_001135998
UXT,NM_004182
TIMM17B,NM_001167947
PRAF2,NM_007213
GPKOW,NM_015698
TSR2,NM_001346789
MAGED2,NM_014599
MAGEH1,NM_014061
SPIN2B,NM_001006681
PDZD11,NM_001370174
RPS4X,NM_001007
CITED1,NM_001144885
COX7B,NM_001866
PGK1,NM_000291
ITM2A,NM_001171581
TMEM35A,NM_021637
TIMM8A,NM_001145951
RPL36A,NM_001199972
ARMCX3,NM_016607
TCEAL2,NM_080390
TCEAL6,NM_001006938
BEX5,NM_001012978
BEX1,NM_018476
BEX4,NM_001080425
TCEAL8,NM_001006684
TCEAL5,NM_001012979
BEX2,NM_001168399
TCEAL7,NM_001348258
BEX3,NM_001282674
TCEAL4,NM_001006935
SLC25A5,NM_001152
RPL39,NM_001000
NDUFA1,NM_004541
RAB33A,NM_004794
LDOC1,NM_012317
CXorf40B,NA
NSDHL,NM_001129765
CCNQ,NM_001130997
SSR4,NM_001204526
TMEM187,NM_003492
RPL10,NM_001256577
LAGE3,NM_006014
UBL4A,NM_014235
IKBKG,NM_001099856
FUNDC2,NM_023934
CMC4,NM_001018024
VBP1,NM_001303543
EIF1AY,NM_001278612
