"Symbol","Uniprot","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"TSTD1","Q8NFU3","0.52066444755325","6823.48697341914","6748.80280804488",0.750420598330292,1
"HSD11B1","P28845","0.0502007201931571","2917.09160253962","3284.17652162097",0.244891763736782,1
"SLC22A17","Q8WUG5","0.934614704620685","2349.444726613","2350.2555736612",0.977340614054919,1
"NPR2","P20594","0.362189807349578","442.568197330284","454.374558897925",0.620919516153928,1
"ZFAND5","O76080","0.728814961211349","584.975063560558","593.689523960378",0.87997885525868,1
"SLC25A51","Q9H1U9","0.0873199243586645","2563.33781930228","2486.61292652425",0.314044612319077,1
"MOB1B","Q7L9L4","0.692118205218594","5101.19098230693","5074.38982624457",0.858037705152799,1
"TTC33","Q6PID6","0.00021235108465498","1033.69899806228","1118.59166758545",0.0148883532612638,1
"BLOC1S3","Q6QNY0","0.849107497059964","956.336274945053","957.727065609153",0.939748321791437,1
"BSCL2","Q96G97","0.114476526690565","5685.86407441939","5570.16232303631",0.355532424308456,1
"MRPS17","Q9Y2R5","0.873977538369932","2653.94590115256","2642.1656342017",0.952609915584133,1
"C6","P13671","0.053170495572513","362.685813529317","389.696654115743",0.251459629738327,1
"PRPF40B","Q6NWY9","0.895951806123473","530.223238673174","534.835785155042",0.962861698947713,1
"TRAPPC2L","Q9UL33","0.678331674928111","4677.00243206598","4653.53925334967",0.850189691829192,1
"PDZRN3","Q9UPQ7","0.0808739636322648","649.305544429593","730.880796066196",0.303171470542091,1
"PES1","O00541","0.00871446889369459","1094.77920193088","1133.53380272079",0.108636075741191,1
"RBM5","P52756","0.388035360648923","733.02923964261","745.767122885928",0.643213472233917,1
"RNASET2","O00584","0.320072926529325","2937.01910488357","2866.02415040735",0.581504265961438,1
"RPS27","P42677","0.744976797467728","6323.1617518241","6293.09366809239",0.888682629486878,1
"PAAF1","Q9BRP4","0.319466047568292","1370.81009634254","1393.47386384274",0.581394294642325,1
"TRIM4","Q9C037","0.0997308807383392","687.643734919252","716.561081903444",0.333356289699463,1
"GPR37L1","O60883","0.0281766873465264","5127.78235548061","4962.68657575514",0.186586978750642,1
"TMEM192","Q8IY95","0.0311290293168132","3385.26298537537","3298.73520392182",0.193243389318402,1
"AAGAB","Q6PD74","0.199388319603741","1345.48772037969","1373.53045484048",0.461715299366818,1
"NHSL1","Q5SYE7","0.136556528204458","434.63781957944","457.792687579335",0.385062458179014,1
"GALT","P07902","0.0556286197524569","1577.62376219229","1636.72019542464",0.255695314556293,1
"TBXAS1","P24557","0.585987549573411","600.766291497005","591.091234919052",0.793376230492854,1
"CHRM4","P08173","0.634794875915184","796.920618414923","786.821025559279",0.825973895100039,1
"TMEM35A","Q53FP2","0.0809784242943445","10410.0639637029","10754.2979731863",0.303171470542091,1
"PFDN1","O60925","0.168555360181693","15215.6793540696","14933.6115192687",0.424731242973154,1
"TIMP2","P16035","0.0200994965783725","2009.57005572483","2105.68583133251",0.157846699762214,1
"TPCN1","Q9ULQ1","0.0552727449176346","658.60762291326","638.606599678954",0.254808984534747,1
"MEF2C","Q06413","0.0768007783346904","847.419613055856","830.453846230493",0.295771947711814,1
"GHITM","Q9H3K2","0.158118793982388","5019.84147421303","4871.2823978485",0.412809975335242,1
"AP1S1","P61966","0.0208200619128511","7018.82117663508","6799.47666617785",0.160600161685112,1
"FOLR2","P14207","0.195194992432498","2444.92880188558","2320.1740075214",0.458171724502115,1
"LIFR","P42702","0.222835064203543","545.913803233375","559.972856526259",0.483245346791078,1
"XYLB","O75191","0.451151558150072","396.146934609698","404.655793626849",0.694640054262988,1
"CDK9","P50750","0.953304925298013","933.648850445696","935.651981641883",0.984162331388383,1
"HEPH","Q9BQS7","0.30915137224073","480.34828908057","499.878628847333",0.570011520219222,1
"ESAM","Q96AP7","0.285377644075976","1013.17482002962","1030.6648710776",0.549788193000413,1
"NHS","Q6T4R5","0.98311032359062","227.093437022156","227.871923851764",0.995361272650595,1
