"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"HSPA8","P11142","2.02462943056849","4848.22917832155","0.249072336383029","0.0121383888869558","4357.45856648261","-2125.53075887313",0.568586979941577,1
"NDUFS1","P28331","4.07770041046006","1240.97712280193","0.771134809289411","0.00848629220234403","-999.304758907146","-735.808547207278",0.893802943703737,1
"CLASP2","O75122","3.04564718716713","562.64477566405","0.258876726097362","0.00842196267183727","53.9004295040498","-560.057039310576",0.578760027914996,1
"ACTN2","P35609","4.05200168389094","1685.3169421498","0.164973194600796","0.0224878490245404","-1330.98700006385","-1033.81178226899",0.480648971890612,1
"IMMT","Q16891","3.38873335903453","2160.59962102654","0.232958668995809","0.0119455222144094","-528.552985496912","-2094.95166147153",0.556168359160786,1
"NSF","P46459","2.68476112696852","4562.45031449286","0.327453734612015","0.0132459486515884","2012.52769772421","-4094.59218214816",0.636681990385198,1
"OGDH","Q02218","2.63311430248286","468.463133210433","0.793944975582669","0.004963197253248","228.070654057238","-409.196143597712",0.904356565481483,1
"OPA1","O60313","0.848731706595423","1328.87307916731","0.28439707352751","0.0111885176850492","997.243166404217","878.299338264409",0.600491097347388,1
"EPRS1","P07814","3.80582596988326","363.54014056165","0.539865507785356","0.00574876872079911","-224.106368254184","-286.247741488915",0.779922240176983,1
"APOB","P04114","1.20928006143277","2142.38806890241","0.0191565615419516","0.0935207328939856","2003.90754656729","757.747439841297",0.172254743255247,1
"NUMA1","Q14980","0.900828780551044","1270.31540730879","0.0146987939173138","0.0298269341020929","995.726339309325","788.815752411005",0.152734542114215,1
"EPB41L2","O43491","1.49139199392702","2013.74553325205","0.212054052427374","0.0216295469412168","2007.40048691962","159.732143939297",0.532109944016538,1
"HSPA9","P38646","1.95115013058337","2948.66510055965","0.0992978013403836","0.0180283995305805","2737.93386730332","-1094.68900311089",0.383925294247282,1
"VPS13A","Q96RL7","5.84345309443994","220.74898018777","0.797576339571138","0.00446238382613525","-93.9722158875228","199.748178702909",0.90676172945647,1
"SYN2","Q92777","4.53845871178058","581.994369716618","0.944923926453838","0.00487667608478082","-573.21336925819","-100.716829207027",0.976450139223928,1
"ROCK2","O75116","3.38029073513923","933.186159914573","0.264115388086843","0.0092782577412374","-220.640503638494","-906.727179040233",0.583158418341506,1
"KIF1A","Q12756","3.37091095297811","753.781913252371","0.145240079898692","0.0124352155674091","-171.344972004191","-734.049094621939",0.456404819058007,1
"ACACA","Q13085","2.63353839950141","108.160495457355","0.849295206917106","0.0028990998060825","52.6177214966563","-94.4990378897104",0.931815886948928,1
"ITSN1","Q15811","6.20381327136675","398.664984446004","0.36516271017908","0.00585611634930386","-31.6096373143571","397.409864814887",0.667770048523129,1
"SBF1","O95248","5.91562401321366","283.734244349574","0.428748730548727","0.00514600173737709","-101.957258170927","264.782625794992",0.708446305880261,1
"ADD1","P35611","1.66616485272882","991.355950655278","0.505099562425964","0.00821299473787873","986.851098187874","-94.4009052129067",0.759333823199799,1
"EEA1","Q15075","3.28327474726125","661.560845280536","0.416016616299681","0.00674008050960601","-93.4180493560779","-654.931920174",0.700593499949506,1
"VIM","P08670","1.20263884374556","13107.1486656869","0.318936731663457","0.0771276014154181","12228.8654407072","4717.22335463301",0.629813399347549,1
"SRCIN1","Q9C0H9","3.97560467100848","876.222401126969","0.0376984862332548","0.0107439176989737","-648.959259070377","-588.742368361186",0.238694718484973,1
"USP9X","Q93008","5.45607604141341","242.936003174283","0.819232340106685","0.00331358842337854","-178.795408993601","164.469156260698",0.917282647618346,1
"GAP43","P17677","3.23912049705218","311.623325545998","0.993948461541626","0.00125895841949483","-30.3437940682","-310.142469174883",0.996243365634462,1
"HECTD4","Q9Y4D8","3.88847805736012","35.5195053475303","0.952926076061919","0.00120179097892575","-24.1304083310087","-26.0645094700058",0.979124519985655,1
"A2M","P01023","0.959863122595829","4542.75735521995","0.0560644737821503","0.0605033402342216","3721.03187216776","2605.87148468926",0.290316632295376,1
"PC","P11498","3.18029996942176","911.037051178163","0.248768040866841","0.0118964330850457","-35.2549938327505","-910.354652884937",0.568384055945467,1
"VCL","P18206","1.56342709594078","3802.43901554124","0.271542164194059","0.0369304663662762","3802.33576921199","28.0207972984043",0.590304490979374,1
"KIF5C","O60282","4.38444652860898","1104.06748882366","0.00661533095182274","0.0201506616221268","-1045.2285025924","-355.615518848402",0.101756291451856,1
"ATP2B3","Q16720","1.99378306438262","920.99047345019","0.103334112378467","0.0167301833146865","839.820816372259","-378.053499618557",0.391587174648565,1
"SEPTIN7","Q16181","2.26941526146957","486.050012798043","0.910267100875723","0.00265020433166595","372.183642209812","-312.608303492432",0.960803340030109,1
