"Gene_Symbols","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"EIF3G","0.000428694874357195","17.4094943891491","15.6379351313456",0.00181673865914504,1
"DNMT1","0.0265405617493332","22.7640756224899","23.4455786863984",0.0600190771506047,1
"MRPL4","0.000411638022480467","27.7670540093806","25.458520756728",0.00175506232570495,1
"ICAM5","1.98896502409572e-05","35.7869633319945","29.5872439594969",0.00013739535237879,0.278912565328943
"ZGLP1","0.119644060059293","10.2650385219469","10.8814115687191",0.204531104987379,1
"FDX2","6.6298088736851e-05","24.7479767642346","21.8969072817811",0.000379778634949698,0.929698098356862
"RAVER1","0.551364721167369","8.22499285234184","8.06162519211544",0.667454030121721,1
"TYK2","0.0184562986808209","13.4882124591727","14.2234010984997",0.044256613611688,1
"CDC37","3.53273141800102e-07","63.838641501719","56.7658923608363",5.014118691764e-06,0.00495394926746283
"PDE4A","0.99839438714344","46.8803353549106","47.4507403706893",0.999249481900825,1
"KEAP1","0.00323320276033008","15.3987542135184","14.4736813780867",0.00998440922882817,1
"ATG4D","0.115245131058876","14.6894153820125","15.075344441744",0.198268000593623,1
"KRI1","0.207129447878937","8.15934983409728","8.47636977575716",0.317613586397631,1
"CDKN2D","1.14292912477821e-10","55.8289104632855","48.6828460422926",9.211089147566e-09,1.60272951167648e-06
"SLC44A2","0.0534097571846297","19.0493289773413","19.7009375393651",0.105995616331738,1
"ILF3-DT","3.80715304792262e-06","12.9950690033974","11.1871656589358",3.53479417554711e-05,0.0533877071910189
"ILF3","0.000113742154520658","41.9376923135257","39.8225817833167",0.000596486998071499,1
"QTRT1","0.989451762484188","40.0078803118601","39.8940458944616",0.993703506790501,1
"DNM2","3.42796601473074e-05","39.8308240675461","43.3060027532581",0.000217709997393882,0.480703674245692
"TMED1","0.00355321654639382","2.69465060149148","2.41816834092456",0.01084133064188,1
"CARM1","0.0968242166007879","33.6785886351321","32.7195333194428",0.172086944156255,1
"YIPF2","0.248491392526724","17.1506554053018","17.5861790062768",0.366067317722686,1
"TIMM29","0.000253908907794487","11.6204725232634","10.6678478392818",0.00116854762520581,1
"SMARCA4","0.995740554047058","73.6170813687331","74.0591727024229",0.997946668768003,1
"LDLR","0.00330112504325468","15.4363395823728","17.6134438467232",0.0101672911226796,1
"KANK2","0.233818521891496","2.49804112175874","2.61183095037639",0.34914675034442,1
"DOCK6","0.435107269812406","8.82203195109305","9.16521418663588",0.559751072543073,1
"RAB3D","0.52260229010053","14.5804298467596","14.8357570590039",0.642708862113379,1
"TMEM205","1.80992038989451e-05","38.1427571056955","33.5793787834943",0.000127093207949378,0.253805136274907
"CCDC159","0.426103166725086","8.10488138625634","8.23793452249225",0.551405578109274,1
"PLPPR2","0.000275488112269793","45.0751115764519","41.2151868433756",0.00125224304646979,1
"EPOR","0.0557496559850835","2.56361072278496","2.34106308200623",0.109954630925292,1
"CCDC151","0.0029924578627297","3.80642450349418","4.37659479968398",0.00937516456860111,1
"PRKCSH","0.850929097622315","23.1532055940191","22.7588445451871",0.902069756271373,1
