GENE_SYMBOLS,refseq_ids
TTC9B,NM_152479
EXOSC5,NM_020158
RPS19,NM_001022
CNFN,NM_032488
ZNF576,NM_001145347
ZNF428,NM_182498
CALM3,NM_001329921
AP2S1,NM_001301076
TMEM160,NM_017854
NOP53,NM_015710
SELENOW,NM_003009
RPL18,NM_000979
NUCB1,NM_006184
BAX,NM_001291428
FTL,NM_000146
C19orf73,NM_018111
RPL13A,NM_001270491
RPS11,NM_001015
FAM71E1,NA
JOSD2,NM_001270639
NDUFA3,NM_004542
TFPT,NM_001321792
LENG1,NM_024316
RPS9,NM_001013
SYT5,NM_001297774
RPL28,NM_000991
UBE2S,NM_014501
CCDC106,NM_001370467
TRAPPC2B,NM_001355204
RPS5,NM_001009
CHMP2A,NM_014453
UBE2M,NM_003969
IDH3B,NM_001258384
MRPS26,NM_030811
C20orf27,NA
CHGB,NM_001819
DSTN,NM_001011546
PET117,NM_001164811
SMIM26,NM_001348957
PDRG1,NM_030815
AHCY,NM_000687
MAP1LC3A,NM_032514
EIF6,NM_001267810
ROMO1,NM_080748
SCAND1,NM_001385710
RAB5IF,NM_001199534
SLC32A1,NM_080552
MAFB,NM_005461
YWHAB,NM_003404
PFDN4,NM_002623
ATP5F1E,NM_006886
ZNF831,NM_001384354
PSMA7,NM_002792
RPS21,NM_001024
HAR1A,NR_003244
PPDPF,NM_001353423
LKAAEAR1,NM_001007125
CU633906.5,NA
ATP5PF,NM_001003696
SOD1,NM_000454
URB1-AS1,NM_032910
ATP5PO,NM_001697
PCP4,NM_006198
CSTB,NM_000100
ATP6V1E1,NM_001039366
MRPL40,NM_001318151
RANBP1,NM_001278639
DGCR6L,NM_033257
SDF2L1,NM_022044
CHCHD10,NM_001301339
MIF,NM_002415
DDT,NM_001084392
SRRD,NM_001013694
Z95115.1,NA
XBP1,NM_001079539
UQCR10,NM_001003684
SF3A1,NM_001005409
MTFP1,NM_001003704
SELENOM,NM_080430
YWHAH,NM_003405
TXN2,NM_012473
PVALB,NM_001315532
Z82188.2,NA
LGALS1,NM_002305
TOMM22,NM_020243
DNAL4,NM_005740
RPL3,NM_000967
RPS19BP1,NM_194326
POLR3H,NM_001018050
PMM1,NM_002676
SNU13,NM_001003796
SMDT1,NM_033318
NDUFA6,NM_002490
SULT4A1,NM_014351
GTSE1-DT,NR_024009
SCO2,NM_001169109
SLC25A6,NM_001636
HCCS,NM_001122608
TMSB4X,NM_021109
MED14OS,NM_001289773
NDUFB11,NM_001135998
TIMM17B,NM_001167947
PIM2,NM_006875
SYP,NM_003179
TSR2,NM_001346789
MAGED2,NM_014599
MAGEH1,NM_014061
PDZD11,NM_001370174
RPS4X,NM_001007
CITED1,NM_001144885
COX7B,NM_001866
PGK1,NM_000291
TAF9B,NM_015975
TMEM35A,NM_021637
TIMM8A,NM_001145951
RPL36A,NM_001199972
ARMCX3,NM_016607
TCEAL2,NM_080390
TCEAL6,NM_001006938
BEX5,NM_001012978
BEX1,NM_018476
BEX4,NM_001080425
TCEAL8,NM_001006684
TCEAL5,NM_001012979
BEX2,NM_001168399
TCEAL7,NM_001348258
BEX3,NM_001282674
ZCCHC12,NM_001312891
SLC25A5,NM_001152
RPL39,NM_001000
NDUFA1,NM_004541
RAB33A,NM_004794
MMGT1,NM_001330000
Z96074.1,NA
LDOC1,NM_012317
CXorf40B,NA
PNMA6F,NM_001354980
CCNQ,NM_001130997
SSR4,NM_001204526
RPL10,NM_001256577
LAGE3,NM_006014
UBL4A,NM_014235
F8A1,NM_012151
FUNDC2,NM_023934
VBP1,NM_001303543
BX004987.1,NA
